"gel.id","strain.id","strain.x","trt.x","lim.x","cID.x","tm.pt.x","tm.pt.y","mw.list","lpda.list","band.list","omean.list","olow.list","ohigh.list","rel.int.list"
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,41.38,18.56,3,"7",6.7,6.3,0.147
"20160413-gel2","225-19N5S1","19N5S1","T","N","N5","19",19,24.91,18.56,9,"2",1.9,1.8,0.0297
"20160413-gel2","226-19N3S2","19N3S2","T","N","N3","19",19,28.68,18.8,3,"3",2.9,2.7,0.2145
"20160413-gel2","226-19N3S2","19N3S2","T","N","N3","19",19,44.83,18.8,1,"7",7.7,7.2,0.1873
"20160413-gel2","226-19N3S2","19N3S2","T","N","N3","19",19,41.25,18.8,2,"6",6.6,6.2,0.2037
"20160413-gel2","226-19N3S2","19N3S2","T","N","N3","19",19,26.91,18.8,4,"2",2.4,2.3,0.0439
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,53.34,19.04,3,"10",10.1,9.5,0.1351
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,62.16,19.04,1,"12",12.7,12,0.1997
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,57.75,19.04,2,"11",11.4,10.8,0.2117
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,28.92,19.04,6,"3",2.9,2.7,0.0335
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,23.46,19.04,8,"1",1.3,1.2,0.1515
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,27.23,19.04,7,"2",2.4,2.3,0.0133
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,45.46,19.04,5,"8",7.8,7.3,0.0656
"20160413-gel2","227-19N3S5","19N3S5","T","N","N3","19",19,49.56,19.04,4,"9",9,8.5,0.1002
"20160413-gel2","228-01N5S2","01N5S2","C","N","N5","1",1,29,19.36,1,"3",2.8,2.7,0.1902
"20160413-gel2","229-19P4S3","19P4S3","T","P","P4","19",19,25.55,19.12,11,"2",1.9,1.8,0.067
