Gel.dat,Gel,lim,cID,Sample,lane,Band,MW,Band Int.,Rel. Int.
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,6,37214.3,170.45,0.0299
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,7,31500,282.09,0.0575
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,8,27329.1,1410.79,0.3205
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,9,24057,201.08,0.032
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,10,22038,356.19,0.0854
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,11,18974.7,310.95,0.0366
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,12,18069.6,1585.24,0.1425
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,13,17223.9,339.71,0.0348
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,14,14238.8,11.7,0.0009
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,15,13223.9,24.64,0.0021
2016-4-25_1_20160420gel1-2_Data,20160420gel1,P,P5,01P5S5,3: 50-01P5S5,16,45294.1,37.36,0.2272
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,4: 2-19N1S4,1,41865.4,28.64,0.1946
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,4: 2-19N1S4,2,17522.4,46.34,0.5254
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,4: 2-19N1S4,3,16626.9,11.06,0.0527
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,4: 2-19N1S4,4,54235.3,154.57,0.0335
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,5: 42-19N1S4,1,46705.9,688.3,0.2498
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,5: 42-19N1S4,2,41923.1,709.93,0.254
2016-4-25_1_20160420gel1-2_Data,20160420gel1,N,N1,19N1S4,5: 42-19N1S4,3,26632.9,63.09,0.0189
